"url","price","stars"
"/dp/B00DQFGJR4/?coliid=I1DAPKX8IHV9DP&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$472.74
","4.6"
"/dp/B07Z8PW58J/?coliid=IDPOOGQSQNWD4&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$3,000.00
","4.8"
"/dp/B08BNGCZXW/?coliid=I14L2QWZTGT8L&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$1,299.00
","4.4"
"/dp/B07WGR4CLQ/?coliid=I1989GQW2I979Q&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$799.00
","4.4"
"/dp/B072NDTS6F/?coliid=I20J15KLZIDV3&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$572.73
","4.5"
"/dp/B07FDSNXBR/?coliid=I3M4ETEJTTFEE2&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$279.00
","4.6"
"/dp/B07B93KF28/?coliid=I3A7GC7NIWGPME&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$319.00
","4.5"
"/dp/B07Q22VD32/?coliid=IDM14XTGK3O3O&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$200.00
","5.0"
"/dp/B08K5V1PJ2/?coliid=I1I1GL67W6W2MG&colid=JQK192QOJWAT&psc=0&ref_=lv_vv_lig_dp_it","","4.8"
"/dp/B07XQ74RGH/?coliid=I2T8IF3O4AX7L8&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$489.80
",""
"/dp/B07GKLG3ZP/?coliid=I11LSBRWT068EZ&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","","4.8"
"/dp/B01LZ9C8QL/?coliid=IDGOX29JQT9DH&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$1,060.85
","4.8"
"/dp/B01AYMU4KE/?coliid=I32ZMD6694YYIL&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$647.28
","4.8"
"/dp/B072QFVV3J/?coliid=IURMWX4GC1JOY&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$4,099.00
","4.8"
"/dp/B08HM4L4Q2/?coliid=I27REZYSL830FC&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$4,142.69
","4.1"
"/dp/B092541FJX/?coliid=ICHEQ86O2JGRT&colid=JQK192QOJWAT&psc=0&ref_=lv_vv_lig_dp_it","","3.6"
"/dp/B08WJDFMHT/?coliid=I2ABA7TIWD2G8V&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$15,499.00
","5.0"
"/dp/B089Q5K7GK/?coliid=I2LWOIAMR78RA3&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$5,830.81
","4.7"
"/dp/B08T88Y23K/?coliid=I1OMC805XMCPI5&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$3,609.35
","4.4"
"/dp/B01MXLB67B/?coliid=I14VCREEB4M9V9&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$2,462.55
","4.7"
"/dp/B00DK3P856/?coliid=I37EKAO6GQSATT&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$509.12
","4.8"
"/dp/B07RW2HJGQ/?coliid=I38I3UAAI6WHXI&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$1,305.69
","4.2"
"/dp/1889323209/?coliid=I1GBT21NJ4E9G7&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","","4.3"
