"url","stars","comments","price","reviews"
"/dp/B0849JJ36D/?coliid=I19D2DR9TQ07V&colid=1SC1VTTG1NF8Y&psc=1&ref_=lv_vv_lig_dp_it","4.9","373","
$557.10
","1,201"
"/dp/B07WV6TR8X/?coliid=I3MHYWNR3KJSFQ&colid=1SC1VTTG1NF8Y&psc=1&ref_=lv_vv_lig_dp_it","4.9","974","
$349.16
","3,552"
"/dp/B08FH4N7MJ/?coliid=IHB0MDVTIVA4D&colid=1SC1VTTG1NF8Y&psc=1&ref_=lv_vv_lig_dp_it","5.0","10","
$300.00
","5"
"/dp/B0052TKBNA/?coliid=IZ05PXNMHF8Y8&colid=1SC1VTTG1NF8Y&psc=1&ref_=lv_vv_lig_dp_it","4.6","1,125","
$951.00
","1,776"
"/dp/B01MY0BDX8/?coliid=IHKKZOPPLGDFB&colid=1SC1VTTG1NF8Y&psc=1&ref_=lv_vv_lig_dp_it","4.7","162","
$185.43
","651"
"/dp/B089P33W98/?coliid=I6R4WP87MW4Q3&colid=1SC1VTTG1NF8Y&psc=1&ref_=lv_vv_lig_dp_it","4.8","119","
$572.82
","1,561"
"/dp/0593310721/?coliid=IX1LM4L5UQU92&colid=1SC1VTTG1NF8Y&psc=1&ref_=lv_vv_lig_dp_it","4.8","26","","253"
"/dp/B08F82X44L/?coliid=IX9WRWTCWJ2WR&colid=1SC1VTTG1NF8Y&psc=1&ref_=lv_vv_lig_dp_it","4.5","30","
$629.99
","91"
"/dp/B07R14PF3F/?coliid=I11LWI12VFNTLM&colid=1SC1VTTG1NF8Y&psc=1&ref_=lv_vv_lig_dp_it","4.5","388","
$139.00
","2,455"
"/dp/B07LDVJ6GV/?coliid=I3I6Q7HY2G2WXY&colid=1SC1VTTG1NF8Y&psc=1&ref_=lv_vv_lig_dp_it","4.6","167","
$428.00
","538"
"/dp/B081XVHW53/?coliid=I8FK62CYIVD7O&colid=1SC1VTTG1NF8Y&psc=1&ref_=lv_vv_lig_dp_it","4.8","104","
$319.00
","410"
"/dp/B01NBHYAR0/?coliid=I2R7BXX2Y03QFW&colid=1SC1VTTG1NF8Y&psc=1&ref_=lv_vv_lig_dp_it","4.8","5,483","
$249.00
","18,975"
"/dp/B084RGS1K3/?coliid=I1IK16X992VH34&colid=1SC1VTTG1NF8Y&psc=1&ref_=lv_vv_lig_dp_it","4.4","39","
$2,899.00","139"
"/dp/B07KYC1VL7/?coliid=I2C0TY6GGVGBQD&colid=1SC1VTTG1NF8Y&psc=1&ref_=lv_vv_lig_dp_it","4.7","1,878","
$699.00
","10,874"
"/dp/B07DNFD3HM/?coliid=I1601BWSGE1W76&colid=1SC1VTTG1NF8Y&psc=1&ref_=lv_vv_lig_dp_it","4.0","597","
$340.00
","2,156"
"/dp/B00DM9D0ZI/?coliid=I2TPMEN17ECD1V&colid=1SC1VTTG1NF8Y&psc=0&ref_=lv_vv_lig_dp_it","4.2","967","","5,664"
"/dp/B00DK3P856/?coliid=I1SY01GNDB3SD7&colid=1SC1VTTG1NF8Y&psc=1&ref_=lv_vv_lig_dp_it","4.8","31","
$506.62
","110"
"/dp/6073112912/?coliid=I16URR2DXY0C1B&colid=1SC1VTTG1NF8Y&psc=1&ref_=lv_vv_lig_dp_it","4.5","296","","489"
"/dp/6073158505/?coliid=I2J7O72PFVYVRR&colid=1SC1VTTG1NF8Y&psc=1&ref_=lv_vv_lig_dp_it","4.7","44","","267"
"/dp/607315853X/?coliid=I33MWGX61R0LYN&colid=1SC1VTTG1NF8Y&psc=1&ref_=lv_vv_lig_dp_it","4.7","153","","677"
"/dp/B08466B94H/?coliid=I2OLEE0L57SN0W&colid=1SC1VTTG1NF8Y&psc=0&ref_=lv_vv_lig_dp_it","4.6","18","","38"
"/dp/B08BJVDXQC/?coliid=I1GNK501KD0BA4&colid=1SC1VTTG1NF8Y&psc=1&ref_=lv_vv_lig_dp_it","4.7","39","
$1,285.45","209"
"/dp/B017754L2I/?coliid=I1ZRGBU86G07Q0&colid=1SC1VTTG1NF8Y&psc=0&ref_=lv_vv_lig_dp_it","4.4","159","","403"
"/dp/B07WCVYL26/?coliid=I2MXGRAPESENAW&colid=1SC1VTTG1NF8Y&psc=1&ref_=lv_vv_lig_dp_it","3.7","118","
$269.00
","300"
