"url","stars","comments","price","reviews"
"/dp/B0812DKDD9/?coliid=I3FVY53V1UPSOH&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.6","93","
$9,744.20","64"
"/dp/B07G887M9Z/?coliid=IEBL7QE59HJOJ&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.7","67","
$17,569.36","172"
"/dp/B07Z8Q1C3Z/?coliid=I2D0WJHJO4MIOP&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.7","51","
$9,999.00","168"
"/dp/B0876DBCBX/?coliid=ILFGHP8MXHNF7&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.6","209","
$6,387.99","1,842"
"/dp/B07XZNXWGS/?coliid=I3FOJ19LFISKLT&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.6","12","
$6,070.60","29"
"/dp/B00DQFGJR4/?coliid=I1DAPKX8IHV9DP&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.6","2,727","
$466.60
","5,524"
"/dp/B07Z8PW58J/?coliid=IDPOOGQSQNWD4&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.8","372","
$3,000.00","1,298"
"/dp/B08BNGCZXW/?coliid=I14L2QWZTGT8L&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.4","66","
$1,299.00","220"
"/dp/B07WGR4CLQ/?coliid=I1989GQW2I979Q&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.4","99","
$799.00
","339"
"/dp/B072NDTS6F/?coliid=I20J15KLZIDV3&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.5","1,445","
$559.60
","6,329"
"/dp/B07FDSNXBR/?coliid=I3M4ETEJTTFEE2&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.6","182","
$279.00
","450"
"/dp/B07B93KF28/?coliid=I3A7GC7NIWGPME&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.5","64","
$319.00
","145"
"/dp/B07Q22VD32/?coliid=IDM14XTGK3O3O&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","5.0","10","
$200.00
","5"
"/dp/B08K5V1PJ2/?coliid=I1I1GL67W6W2MG&colid=JQK192QOJWAT&psc=0&ref_=lv_vv_lig_dp_it","4.8","27","","119"
"/dp/B07GKLG3ZP/?coliid=I11LSBRWT068EZ&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.8","339","","1,177"
"/dp/B01LZ9C8QL/?coliid=IDGOX29JQT9DH&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.8","319","
$1,299.00","861"
"/dp/B01AYMU4KE/?coliid=I32ZMD6694YYIL&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.8","565","
$649.00
","1,538"
"/dp/B072QFVV3J/?coliid=IURMWX4GC1JOY&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.8","32","
$4,099.00","83"
"/dp/B092541FJX/?coliid=ICHEQ86O2JGRT&colid=JQK192QOJWAT&psc=0&ref_=lv_vv_lig_dp_it","3.7","22","","34"
"/dp/B08WJDFMHT/?coliid=I2ABA7TIWD2G8V&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","5.0","2","
$15,499.00","2"
"/dp/B089Q5K7GK/?coliid=I2LWOIAMR78RA3&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.5","9","
$5,821.09","22"
"/dp/B08T88Y23K/?coliid=I1OMC805XMCPI5&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.4","40","
$3,602.20","95"
"/dp/B01MXLB67B/?coliid=I14VCREEB4M9V9&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.7","50","
$2,436.95","78"
"/dp/B00DK3P856/?coliid=I37EKAO6GQSATT&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.8","31","
$506.62
","110"
"/dp/B07RW2HJGQ/?coliid=I38I3UAAI6WHXI&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.2","4,187","
$1,346.44","24,027"
"/dp/1889323209/?coliid=I1GBT21NJ4E9G7&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.3","25","","48"
"/dp/B08YGNG664/?coliid=I36YNLZ8AY38FR&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.8","13","","53"
"/dp/B0776LYDWS/?coliid=I2NFV3HNNB0NP2&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.5","6","
$734.80
","5"
"/dp/B01MFGICQT/?coliid=I28AM56N9TLW62&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.7","243","
$1,499.50","1,201"
"/dp/B0774Y814B/?coliid=I1QJC7Z5HROSZ5&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.8","46","
$3,004.33","136"
"/dp/B08KWP8R1J/?coliid=I39R0JWUTPEGNT&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.9","2","
$2,370.00","12"
"/dp/B08CFTHRWJ/?coliid=I2Z87QP3NKUWWR&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","3.7","2","
$1,799.00","7"
"/dp/B07NPWPB23/?coliid=I3BG6FRDGBB4HK&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.7","388","
$2,584.77","3,188"
"/dp/B08H71TWDY/?coliid=I2JYOJYHO4ZO68&colid=JQK192QOJWAT&psc=0&ref_=lv_vv_lig_dp_it","4.9","151","","473"
"/dp/B08H71MRV7/?coliid=I1EB2HSMEPQ449&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.9","1,035","","3,999"
"/dp/B08NP4Z4DL/?coliid=I2M38CAK5UD9TC&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.4","59","
$299.00
","171"
